"filename", "language", "lean4", "Markdown", "comment", "blank", "total"
"/Users/peternelson/GitHub/Matroid/Matroid.lean", "lean4", 18, 0, 0, 1, 19
"/Users/peternelson/GitHub/Matroid/Matroid/Circuit.lean", "lean4", 496, 0, 114, 125, 735
"/Users/peternelson/GitHub/Matroid/Matroid/Class.lean", "lean4", 56, 0, 233, 100, 389
"/Users/peternelson/GitHub/Matroid/Matroid/Clone.lean", "lean4", 34, 0, 0, 11, 45
"/Users/peternelson/GitHub/Matroid/Matroid/Closure.lean", "lean4", 559, 0, 163, 168, 890
"/Users/peternelson/GitHub/Matroid/Matroid/Connectivity.lean", "lean4", 401, 0, 109, 161, 671
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/Basic.lean", "lean4", 21, 0, 0, 10, 31
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/ClosureAxioms.lean", "lean4", 313, 0, 14, 30, 357
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/DirectSum.lean", "lean4", 134, 0, 10, 36, 180
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/Matching.lean", "lean4", 72, 0, 0, 9, 81
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/ParallelExtension.lean", "lean4", 288, 0, 9, 63, 360
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/Quotient.lean", "lean4", 0, 0, 1, 1, 2
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/RankAxioms.lean", "lean4", 489, 0, 7, 44, 540
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/Relax.lean", "lean4", 109, 0, 4, 26, 139
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/Transversal.lean", "lean4", 413, 0, 5, 28, 446
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/Truncate.lean", "lean4", 154, 0, 22, 44, 220
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/TwoSum.lean", "lean4", 8, 0, 0, 4, 12
"/Users/peternelson/GitHub/Matroid/Matroid/Constructions/Uniform.lean", "lean4", 225, 0, 53, 66, 344
"/Users/peternelson/GitHub/Matroid/Matroid/Equiv.lean", "lean4", 269, 0, 4, 63, 336
"/Users/peternelson/GitHub/Matroid/Matroid/Extension.lean", "lean4", 553, 0, 100, 118, 771
"/Users/peternelson/GitHub/Matroid/Matroid/Flat.lean", "lean4", 846, 0, 127, 206, 1179
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/Card.lean", "lean4", 129, 0, 0, 21, 150
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/Data/Set/Finite.lean", "lean4", 36, 0, 18, 13, 67
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/ENatTopology.lean", "lean4", 371, 0, 158, 148, 677
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/ForMathlib.lean", "lean4", 3, 0, 6, 1, 10
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/Function.lean", "lean4", 79, 0, 2, 20, 101
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/Lattice.lean", "lean4", 7, 0, 4, 6, 17
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/LinearAlgebra/Dual.lean", "lean4", 15, 0, 0, 5, 20
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/LinearAlgebra/FiniteDimensional.lean", "lean4", 5, 0, 1, 2, 8
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/LinearAlgebra/LinearIndependent.lean", "lean4", 199, 0, 1, 28, 228
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/LinearAlgebra/Matrix/Rowspace.lean", "lean4", 536, 0, 35, 147, 718
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/LinearAlgebra/Matrix/ToLin.lean", "lean4", 21, 0, 0, 13, 34
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/LinearAlgebra/StdBasis.lean", "lean4", 323, 0, 93, 107, 523
"/Users/peternelson/GitHub/Matroid/Matroid/ForMathlib/LinearAlgebra/Submodule.lean", "lean4", 31, 0, 0, 6, 37
